Date,Price,Market_Cap,Energy_TWh_Annual,electricity_price,daily_energy_kwh,daily_cost_usd,cumulative_cost,CEIR,log_CEIR,post_china_ban,period
2022-08-29,20010.0,384510594215.2531,92.608704338612,0.082327375,253722477.6400329,20888305.56260011,17981516100.143814,21.38365820066629,3.062626994826826,1,ETH Merge
2022-08-30,20186.75,387924098996.5827,91.3672406730505,0.082327375,250321207.32342604,20608287.905768447,18002124388.049583,21.5487956107058,3.070319926853655,1,ETH Merge
2022-09-01,20188.0,387982278969.24255,90.5930014238518,0.082327375,248200003.90096384,20433654.79615612,18043275264.05819,21.50287424490468,3.068186612007985,1,ETH Merge
2022-09-02,20063.0,385596933088.6816,87.3161535093697,0.082327375,239222338.3818348,19694547.16033821,18062969811.21853,21.34737183966257,3.0609286332525043,1,ETH Merge
2022-09-04,19750.0,379614660704.44666,89.3802882574415,0.082327375,244877502.07518223,20160121.94240681,18103016465.33378,20.969690959039152,3.0430781075157323,1,ETH Merge
2022-09-05,19844.0,381438186932.0416,89.6286985229031,0.082327375,245558078.14494,20216151.983717784,18123232617.317497,21.04691778703771,3.046754125988799,1,ETH Merge
2022-09-07,18979.0,364843317597.2297,88.6639793501836,0.082327375,242915011.9183112,19998555.279328283,18163248967.473045,20.08689735248332,3.0000677294926583,1,ETH Merge
2022-09-09,19333.45,371689685807.7321,89.031563060198,0.082327375,243922090.5758849,20081465.42162485,18203087257.26055,20.419046536157133,3.0164681189998186,1,ETH Merge
2022-09-10,21173.0,407073257822.6271,89.7644199498264,0.082327375,245929917.6707573,20246764.555799566,18223334021.816357,22.338023181449284,3.106290301876592,1,ETH Merge
2022-09-12,21556.0,414473120591.4775,91.0590988627472,0.082327375,249476983.1856088,20538785.148590315,18264411592.113533,22.692935849652255,3.1220536800052567,1,ETH Merge
2022-09-13,22398.0,430681713116.5059,90.6989790581008,0.082327375,248490353.5838378,20457558.52337921,18284869150.636917,23.55399481223545,3.1592954371695003,1,ETH Merge
2022-09-15,19949.0,383624454122.3909,91.6008928434377,0.082327375,250961350.2559937,20660989.193031546,18325703072.791363,20.933682740498394,3.041359476091825,1,ETH Merge
2022-09-16,19858.25,381895985417.7987,90.3419773800899,0.082327375,247512266.79476687,20377035.205512825,18346080107.99688,20.81621704308017,3.0357323484586898,1,ETH Merge
2022-09-18,20079.0,386174952209.76855,89.925420772519,0.082327375,246371015.81512052,20283079.008142367,18387107444.22245,21.00248521314381,3.0446407742044244,1,ETH Merge
2022-09-19,19645.75,377858826521.1976,88.3272101960378,0.082327375,241992356.7014734,19922595.49729597,18407030039.719746,20.527962724341307,3.021787992026996,1,ETH Merge
2022-09-21,18966.82,364832336593.0243,91.2529400664519,0.082327375,250008054.97658056,20582506.89507757,18447913101.35026,19.776347307616117,2.984486643197126,1,ETH Merge
2022-09-23,19246.0,370234672457.7457,90.1814765338415,0.082327375,247072538.44888085,20340833.52508294,18488453792.38382,20.025183101588578,2.9969906365624865,1,ETH Merge
2022-09-24,18631.0,358419524980.6001,87.926161858612,0.082327375,240893594.1331836,19832137.25930041,18508285929.64312,19.365354865549737,2.9634856378982053,1,ETH Merge
2022-09-26,19011.0,365761678490.4759,88.5783868994268,0.082327375,242680512.0532241,19979249.520997807,18547930817.25232,19.719810370991,2.981623733052748,1,ETH Merge
2022-09-27,19112.0,367720832643.9456,86.1847315216163,0.082327375,236122552.11401728,19439349.89384775,18567370167.146168,19.804680433129143,2.985918295277409,1,ETH Merge
2022-09-29,19569.0,376546329461.9266,86.6972778044854,0.082327375,237526788.50543943,19554956.98983301,18606359075.645687,20.23750739900517,3.0075376846123425,1,ETH Merge
2022-09-30,19507.0,375369600517.432,88.7842692125619,0.082327375,243244573.18510103,20025687.193324763,18626384762.83901,20.15257417350905,3.003332030779641,1,ETH Merge
2022-10-02,19274.25,370922971767.22687,90.8697607957877,0.082327375,248958248.75558275,20496079.10464415,18667376100.09549,19.87011831648528,2.9892170110746976,1,ETH Merge
2022-10-04,19599.0,377205264541.0861,93.169859705406,0.082327375,255259889.60385203,21014876.653874934,18708835014.61676,20.161878826040464,3.003793634596849,1,ETH Merge
2022-10-05,20343.0,391541330126.6948,95.6618713132874,0.082327375,262087318.66654083,21576960.96660481,18730411975.583366,20.904042614604588,3.0399425668023694,1,ETH Merge
2022-10-07,20050.0,385935315483.2449,97.9501505902213,0.082327375,268356576.9595104,22093092.54506198,18774468999.04788,20.556390463177262,3.023171864044795,1,ETH Merge
2022-10-08,19551.0,376346490822.6664,98.0023215636346,0.082327375,268499511.13324547,22104859.940383382,18796573858.988262,20.02207921752201,2.996835625513389,1,ETH Merge
2022-10-10,19488.5,375175769231.28845,101.424179790785,0.082327375,277874465.1802329,22876675.29781748,18841686014.79421,19.91200622580729,2.991322877731337,1,ETH Merge
2022-10-11,19240.0,370407829420.18616,103.054965518991,0.082327375,282342371.28490686,23244506.279161766,18864930521.073376,19.634730645120374,2.9772999698365856,1,ETH Merge
2022-10-13,19168.0,369053480808.6447,100.862033046529,0.082327375,276334337.1137781,22749880.59694244,18910479697.476597,19.51581803913156,2.971225318233734,1,ETH Merge
2022-10-15,19175.0,369220030568.642,99.8029924962369,0.082327375,273432856.15407366,22511009.285917487,18955702020.324352,19.478045717998903,2.969287970697096,1,ETH Merge
